x1, y1, x2, y2, d, a, t
37, 7, 64, 4, 26.270, -1.465, 2
74, 25, 9, 14, 66.131, 1.401, 2
74, 25, 11, 38, 64.394, 1.770, 2
23, 34, 88, 65, 72.615, -2.014, 2
16, 54, 38, 52, 21.830, -1.510, 2
148, 5, 151, 19, 13.614, -2.909, 2
65, 10, 22, 98, 97.385, 2.686, 2
111, 36, 8, 54, 104.758, 1.742, 2
80, 45, 13, 93, 82.580, 2.195, 2
28, 47, 25, 48, 2.451, 1.671, 2
156, 13, 143, 2, 16.511, 0.852, 2
17, 23, 160, 27, 143.284, -1.601, 2
15, 40, 7, 47, 11.229, 2.332, 2
66, 46, 65, 120, 74.614, 3.131, 2
84, 23, 2, 85, 103.230, 2.218, 2
36, 53, 35, 88, 34.749, 3.132, 2
36, 53, 98, 53, 61.886, -1.575, 2
64, 4, 55, 41, 38.293, 2.914, 3
64, 4, 65, 2, 1.917, -0.585, 3
61, 6, 61, 11, 4.634, 3.077, 3
54, 7, 36, 61, 57.321, 2.820, 3
94, 8, 167, 4, 72.973, -1.519, 3
78, 8, 19, 50, 71.741, 2.191, 3
35, 12, 6, 62, 57.617, 2.620, 3
62, 14, 61, 5, 9.032, 0.106, 3
11, 19, 88, 54, 84.752, -1.998, 3
77, 19, 79, 23, 3.810, -2.667, 3
86, 20, 58, 21, 28.514, 1.602, 3
27, 20, 37, 24, 11.284, -1.918, 3
68, 21, 82, 80, 60.823, -2.920, 3
30, 23, 54, 34, 26.122, -2.002, 3
160, 27, 156, 35, 8.500, 2.647, 3
162, 29, 59, 17, 103.341, 1.456, 3
165, 29, 71, 22, 94.173, 1.496, 3
61, 31, 21, 107, 85.526, 2.659, 3
107, 47, 106, 50, 2.723, 2.852, 3
17, 53, 154, 7, 144.642, -1.244, 3
98, 53, 80, 4, 52.387, 0.342, 3
102, 66, 13, 65, 89.185, 1.553, 3
43, 68, 42, 73, 5.766, 3.031, 3
38, 68, 34, 71, 5.028, 2.303, 3
6, 74, 84, 106, 84.727, -1.967, 3
42, 77, 9, 5, 79.420, 0.428, 3
83, 86, 82, 89, 3.535, 3.065, 3
82, 88, 83, 92, 4.175, -2.881, 3
68, 93, 36, 64, 43.425, 0.829, 3
75, 93, 124, 67, 55.194, -1.084, 3
72, 96, 156, 35, 103.619, -0.943, 3
83, 98, 85, 102, 4.483, -2.808, 3
22, 98, 31, 69, 30.604, -0.297, 3
22, 98, 24, 85, 13.134, -0.169, 3
143, 2, 148, 9, 8.891, -2.522, 3
25, 3, 32, 7, 7.718, -2.128, 3
3, 5, 20, 2, 17.166, -1.404, 3
77, 11, 76, 16, 4.172, 3.056, 3
39, 15, 30, 81, 66.653, 3.002, 3
34, 16, 30, 21, 6.925, 2.584, 3
42, 15, 41, 21, 5.572, 2.827, 3
49, 17, 48, 23, 5.698, 2.930, 3
56, 20, 55, 24, 3.721, 2.921, 3
55, 26, 11, 82, 70.800, 2.487, 3
144, 29, 147, 35, 6.460, -2.652, 3
71, 32, 67, 48, 15.972, 2.855, 3
85, 40, 84, 43, 3.113, 3.019, 3
50, 40, 87, 5, 51.236, -0.810, 3
63, 41, 171, 15, 110.780, -1.335, 3
45, 43, 39, 46, 6.582, 1.980, 3
33, 46, 30, 49, 5.089, 2.274, 3
11, 47, 7, 52, 6.841, 2.484, 3
17, 48, 18, 97, 49.505, -3.123, 3
149, 47, 12, 53, 136.215, 1.609, 3
111, 49, 110, 53, 3.933, 2.918, 3
28, 56, 25, 58, 3.911, 2.279, 3
61, 56, 69, 102, 46.621, -2.962, 3
61, 56, 12, 76, 52.698, 1.946, 3
121, 62, 24, 26, 103.269, 1.220, 3
11, 64, 15, 79, 15.999, -2.871, 3
32, 66, 20, 45, 24.656, 0.490, 3
38, 71, 34, 77, 6.839, 2.570, 3
76, 76, 11, 16, 88.575, 0.815, 3
54, 84, 53, 89, 5.031, 2.806, 3
35, 88, 32, 91, 4.711, 2.260, 3
35, 88, 63, 71, 32.462, -1.034, 3
110, 92, 87, 62, 37.148, 0.647, 3
110, 92, 10, 60, 104.687, 1.263, 3
32, 96, 16, 106, 19.403, 2.119, 3
26, 97, 14, 103, 13.171, 2.031, 3
71, 98, 118, 32, 81.931, -0.616, 3
107, 109, 106, 109, 1.477, 1.817, 3
147, 8, 152, 16, 9.116, -2.592, 3
