x1, y1, x2, y2, d, a, t
93, 132, 105, 135, 12.577, -1.841, 35
95, 128, 88, 113, 16.553, 0.437, 35
105, 109, 103, 93, 15.743, 0.084, 35
80, 134, 97, 128, 18.089, -1.256, 35
100, 92, 103, 80, 11.722, -0.319, 35
70, 70, 66, 56, 15.179, 0.322, 35
48, 69, 37, 76, 13.798, 2.093, 35
70, 70, 76, 60, 12.266, -0.534, 35
48, 87, 52, 102, 14.671, -2.877, 35
76, 93, 76, 109, 16.131, -3.124, 35
80, 49, 78, 40, 9.220, 0.219, 36
96, 49, 106, 47, 10.663, -1.432, 36
104, 140, 111, 140, 7.000, -1.571, 36
74, 111, 70, 103, 8.431, 0.389, 36
87, 46, 87, 39, 7.200, 0.000, 36
48, 100, 44, 91, 10.585, 0.388, 36
129, 77, 136, 79, 7.343, -1.768, 36
128, 74, 135, 76, 7.343, -1.768, 36
105, 64, 99, 57, 9.221, 0.675, 36
135, 109, 145, 110, 10.182, -1.713, 36
113, 74, 111, 64, 10.748, 0.167, 36
119, 63, 122, 53, 10.292, -0.313, 36
145, 118, 146, 110, 7.740, -0.124, 36
63, 50, 70, 55, 8.947, -2.150, 36
72, 69, 82, 70, 9.612, -1.721, 36
133, 110, 133, 100, 9.793, -0.015, 36
114, 101, 114, 108, 7.258, 3.142, 36
87, 43, 101, 39, 14.560, -1.292, 37
97, 52, 112, 46, 16.634, -1.253, 37
99, 50, 108, 37, 15.811, -0.606, 37
107, 84, 110, 68, 15.966, -0.215, 37
126, 85, 136, 80, 11.739, -1.168, 37
90, 49, 104, 43, 15.524, -1.188, 37
67, 39, 55, 39, 12.000, 1.571, 37
111, 72, 116, 56, 16.322, -0.298, 37
127, 70, 138, 64, 12.355, -1.064, 37
133, 135, 122, 131, 11.347, 1.185, 37
98, 50, 112, 43, 15.483, -1.072, 37
111, 54, 116, 44, 10.733, -0.464, 37
124, 86, 136, 81, 12.434, -1.122, 37
63, 51, 72, 64, 15.646, -2.575, 37
125, 86, 133, 79, 10.404, -0.844, 37
105, 83, 93, 79, 12.303, 1.212, 37
59, 51, 53, 67, 16.855, 2.793, 37
103, 69, 111, 55, 16.015, -0.517, 37
99, 86, 109, 73, 16.464, -0.641, 37
129, 93, 144, 99, 15.619, -1.968, 37
131, 151, 139, 141, 13.151, -0.721, 38
134, 59, 131, 45, 14.318, 0.211, 38
131, 58, 147, 61, 16.279, -1.756, 38
134, 150, 144, 133, 19.349, -0.519, 38
93, 79, 82, 93, 18.028, 2.443, 38
134, 58, 147, 56, 13.416, -1.391, 38
125, 141, 141, 152, 19.118, -2.176, 38
136, 79, 152, 86, 17.181, -2.003, 38
144, 99, 150, 84, 16.490, -0.372, 38
157, 54, 160, 42, 12.369, -0.245, 39
152, 60, 154, 47, 13.153, -0.153, 39
140, 68, 139, 50, 17.618, 0.045, 39
123, 105, 131, 113, 11.314, -2.356, 39
132, 51, 140, 60, 11.879, -2.356, 39
122, 98, 129, 109, 12.487, -2.585, 39
105, 116, 118, 116, 12.482, -1.590, 39
79, 92, 63, 89, 16.100, 1.391, 39
122, 122, 115, 135, 14.612, 2.611, 39
135, 133, 151, 140, 16.780, -1.942, 39
89, 101, 103, 102, 13.344, -1.574, 39
