x1, y1, x2, y2, d, a, t
22, 75, 39, 72, 16.902, -1.420, 21
65, 152, 45, 147, 21.000, 1.338, 21
44, 163, 66, 162, 21.581, -1.508, 22
17, 150, 11, 163, 14.914, 2.740, 22
35, 144, 28, 162, 18.807, 2.744, 22
86, 98, 87, 116, 17.863, -3.083, 27
44, 110, 61, 108, 16.771, -1.488, 27
39, 108, 30, 99, 11.959, 0.754, 27
73, 116, 82, 111, 10.592, -1.039, 28
74, 136, 64, 145, 12.937, 2.335, 28
95, 155, 89, 169, 15.138, 2.760, 29
106, 169, 88, 164, 18.561, 1.262, 30
36, 154, 20, 144, 18.503, 0.995, 30
89, 169, 104, 166, 14.801, -1.370, 30
61, 159, 56, 144, 16.504, 0.317, 30
56, 105, 72, 111, 16.613, -1.891, 30
105, 156, 123, 147, 19.669, -1.092, 30
28, 112, 10, 111, 18.009, 1.508, 30
54, 166, 46, 148, 19.379, 0.434, 30
32, 170, 39, 169, 7.052, -1.449, 31
78, 148, 87, 147, 8.862, -1.482, 31
50, 129, 52, 121, 7.472, -0.255, 31
56, 144, 56, 133, 10.290, -0.018, 31
36, 116, 29, 118, 7.759, 1.830, 31
97, 157, 104, 158, 6.856, -1.778, 31
83, 92, 90, 90, 7.637, -1.285, 31
23, 24, 26, 17, 7.340, -0.392, 31
79, 87, 70, 90, 9.608, 1.870, 31
53, 130, 65, 127, 12.390, -1.278, 32
27, 146, 19, 134, 14.382, 0.593, 32
111, 120, 114, 104, 16.310, -0.188, 32
54, 165, 68, 163, 13.325, -1.477, 33
30, 158, 47, 153, 17.550, -1.300, 33
16, 94, 16, 81, 12.154, 0.032, 33
82, 162, 96, 161, 13.413, -1.473, 33
87, 158, 103, 163, 16.863, -1.859, 33
48, 146, 60, 145, 12.048, -1.457, 33
23, 122, 33, 139, 19.335, -2.586, 33
89, 164, 102, 157, 14.699, -1.034, 33
84, 71, 97, 68, 13.107, -1.353, 33
89, 68, 101, 70, 12.514, -1.741, 33
57, 152, 70, 150, 13.954, -1.423, 34
87, 115, 102, 112, 15.574, -1.371, 34
93, 176, 102, 170, 10.965, -1.025, 34
72, 165, 86, 167, 13.904, -1.662, 34
60, 145, 76, 144, 15.159, -1.484, 34
115, 168, 131, 170, 16.405, -1.657, 34
24, 124, 21, 110, 14.571, 0.259, 34
137, 154, 153, 154, 15.738, -1.541, 34
65, 154, 78, 153, 13.669, -1.506, 34
112, 113, 125, 116, 13.312, -1.775, 34
115, 127, 127, 124, 12.165, -1.352, 34
95, 122, 109, 119, 14.434, -1.329, 34
114, 100, 123, 87, 15.702, -0.629, 34
150, 158, 165, 153, 15.151, -1.281, 34
165, 156, 173, 145, 13.948, -0.656, 34
120, 131, 130, 124, 11.630, -0.953, 34
96, 161, 108, 162, 12.392, -1.652, 34
37, 147, 51, 141, 15.475, -1.150, 34
114, 97, 129, 105, 17.458, -2.027, 34
56, 135, 68, 135, 12.464, -1.520, 34
118, 108, 127, 96, 15.013, -0.679, 34
102, 80, 85, 77, 16.809, 1.424, 34
60, 161, 59, 140, 21.688, 0.045, 35
55, 149, 76, 143, 21.779, -1.282, 35
100, 121, 83, 107, 21.273, 0.888, 35
101, 103, 75, 97, 26.056, 1.300, 35
157, 133, 171, 114, 23.951, -0.625, 35
97, 164, 105, 168, 8.536, -2.032, 36
49, 128, 54, 122, 8.058, -0.705, 36
22, 25, 29, 24, 7.861, -1.429, 36
82, 66, 80, 58, 8.364, 0.265, 36
92, 38, 97, 45, 8.717, -2.456, 36
101, 90, 108, 94, 8.097, -2.023, 36
121, 165, 106, 151, 20.295, 0.810, 37
164, 110, 146, 109, 17.763, 1.556, 37
111, 80, 115, 63, 17.702, -0.272, 37
145, 145, 126, 140, 19.021, 1.308, 37
74, 33, 88, 25, 16.480, -1.064, 37
89, 53, 103, 45, 16.228, -1.061, 37
76, 155, 90, 147, 16.314, -1.059, 37
132, 133, 147, 140, 16.292, -2.038, 37
115, 89, 121, 77, 13.642, -0.502, 37
150, 96, 140, 85, 14.973, 0.775, 37
92, 71, 100, 57, 15.440, -0.493, 37
79, 25, 59, 34, 21.753, 1.963, 37
105, 21, 121, 13, 17.889, -1.103, 37
39, 30, 54, 20, 18.354, -0.992, 37
45, 101, 56, 113, 16.975, -2.417, 37
131, 164, 148, 160, 16.997, -1.379, 38
119, 43, 119, 24, 19.205, 0.017, 38
147, 98, 148, 81, 17.040, -0.082, 38
101, 91, 89, 114, 25.549, 2.685, 38
108, 116, 93, 128, 19.331, 2.232, 38
127, 54, 143, 47, 17.081, -1.174, 38
67, 109, 72, 92, 17.599, -0.263, 38
119, 24, 138, 19, 19.115, -1.299, 38
159, 162, 171, 172, 15.266, -2.277, 39
148, 81, 169, 94, 24.145, -2.117, 39
142, 55, 143, 40, 14.838, -0.002, 39
