x1, y1, x2, y2, d, a
11, 32, 57, 40, 46.555, -1.727
85, 171, 63, 52, 121.124, 0.180
116, 134, 171, 157, 59.334, -1.963
60, 134, 174, 156, 116.351, -1.756
103, 128, 106, 130, 3.635, -2.156
128, 27, 124, 25, 5.328, 1.116
173, 158, 58, 127, 119.344, 1.308
120, 118, 116, 119, 3.304, 1.661
137, 27, 103, 151, 128.522, 2.874
144, 36, 142, 35, 2.516, 1.278
84, 144, 92, 148, 9.243, -2.050
59, 95, 77, 141, 49.064, -2.768
36, 93, 41, 100, 8.349, -2.428
71, 70, 65, 68, 5.448, 1.252
118, 122, 96, 98, 32.227, 0.736
45, 95, 112, 102, 68.058, -1.682
93, 142, 123, 173, 43.046, -2.376
120, 165, 150, 146, 35.118, -1.005
155, 154, 78, 140, 78.256, 1.389
153, 153, 65, 132, 89.849, 1.332
173, 166, 154, 172, 19.754, 1.864
120, 129, 83, 98, 48.282, 0.877
42, 119, 37, 117, 5.089, 1.201
104, 123, 118, 131, 15.995, -2.095
120, 161, 66, 135, 59.393, 1.116
44, 120, 22, 72, 52.477, 0.426
92, 148, 80, 162, 18.185, 2.415
84, 122, 80, 122, 4.134, 1.519
33, 121, 101, 122, 68.515, -1.572
56, 120, 62, 124, 7.435, -2.104
116, 119, 113, 119, 2.995, 1.519
91, 160, 86, 169, 9.604, 2.569
49, 112, 53, 115, 5.397, -2.389
85, 143, 96, 151, 13.332, -2.221
133, 168, 139, 33, 135.218, -0.047
68, 87, 142, 158, 101.496, -2.334
41, 100, 50, 101, 8.490, -1.721
57, 40, 124, 90, 83.258, -2.220
124, 25, 120, 23, 4.475, 1.040
56, 126, 98, 131, 42.059, -1.677
77, 141, 61, 107, 37.419, 0.450
108, 169, 113, 170, 5.862, -1.890
130, 171, 89, 124, 63.133, 0.718
63, 52, 59, 54, 4.776, 1.917
113, 99, 109, 98, 3.500, 1.430
134, 143, 64, 152, 69.798, 1.696
63, 52, 59, 50, 4.708, 1.243
124, 113, 120, 113, 4.906, 1.608
65, 68, 98, 130, 70.017, -2.665
33, 74, 75, 78, 41.408, -1.681
112, 102, 159, 124, 51.071, -2.012
92, 108, 57, 130, 42.064, 2.136
123, 173, 173, 111, 80.579, -0.682
142, 158, 64, 95, 99.277, 0.892
154, 172, 135, 162, 22.153, 1.075
118, 131, 55, 134, 62.938, 1.622
116, 142, 98, 132, 19.939, 1.093
97, 146, 100, 148, 3.074, -2.290
63, 118, 76, 127, 16.295, -2.174
62, 124, 29, 83, 52.311, 0.672
53, 38, 48, 37, 4.502, 1.478
53, 113, 61, 119, 9.830, -2.175
65, 132, 146, 46, 117.423, -0.753
89, 124, 125, 132, 37.232, -1.808
80, 122, 126, 145, 51.284, -2.029
94, 106, 91, 104, 4.647, 1.004
80, 162, 80, 163, 0.983, 2.139
135, 149, 140, 152, 5.048, -2.059
139, 33, 134, 29, 6.265, 0.921
75, 78, 71, 76, 3.821, 1.040
124, 155, 124, 154, 0.425, 0.747
65, 91, 30, 78, 37.235, 1.214
40, 14, 74, 167, 156.188, -2.924
120, 113, 116, 113, 3.285, 1.491
154, 38, 145, 73, 35.747, 2.911
120, 23, 116, 19, 5.342, 0.792
113, 119, 108, 118, 5.278, 1.529
109, 98, 106, 97, 3.820, 1.238
164, 159, 122, 128, 52.179, 0.933
50, 101, 56, 112, 12.522, -2.630
159, 124, 57, 64, 118.083, 1.038
124, 90, 120, 90, 3.984, 1.662
22, 72, 64, 97, 48.619, -2.116
59, 54, 53, 54, 5.978, 1.544
114, 129, 124, 139, 13.659, -2.325
61, 119, 61, 125, 6.312, 3.132
126, 145, 141, 148, 15.588, -1.824
71, 112, 69, 115, 3.335, 2.637
108, 118, 150, 144, 48.427, -2.120
98, 132, 113, 164, 35.172, -2.718
45, 88, 122, 139, 92.909, -2.153
64, 97, 39, 87, 26.652, 1.169
110, 117, 120, 125, 12.845, -2.251
48, 37, 44, 33, 5.680, 0.686
48, 37, 30, 17, 26.666, 0.752
124, 154, 129, 162, 9.131, -2.467
42, 121, 47, 127, 7.914, -2.503
69, 132, 166, 160, 100.647, -1.856
30, 78, 143, 70, 113.315, -1.504
78, 120, 81, 124, 4.706, -2.340
140, 152, 138, 148, 3.962, 0.606
134, 29, 131, 27, 3.125, 0.878
116, 113, 66, 88, 56.490, 1.105
57, 64, 54, 64, 2.602, 1.308
71, 76, 69, 74, 2.943, 0.885
80, 163, 79, 163, 0.481, 1.977
117, 21, 114, 19, 3.141, 1.033
161, 165, 95, 155, 66.885, 1.419
144, 96, 124, 102, 21.122, 1.844
100, 148, 99, 146, 1.840, 0.218
63, 152, 62, 152, 1.193, 2.207
132, 154, 132, 154, 0.477, 1.355
120, 90, 117, 89, 3.158, 1.188
106, 97, 103, 97, 2.537, 1.464
29, 81, 71, 136, 68.970, -2.480
44, 79, 133, 156, 117.949, -2.282
29, 83, 38, 90, 10.588, -2.203
122, 128, 141, 140, 22.736, -2.123
146, 46, 90, 95, 74.404, 2.301
122, 139, 172, 160, 53.309, -1.974
124, 139, 122, 141, 3.149, 2.611
61, 125, 44, 32, 94.643, 0.177
99, 146, 100, 152, 5.094, -3.069
61, 98, 45, 91, 17.288, 1.160
74, 97, 72, 81, 15.922, 0.130
81, 124, 70, 97, 29.136, 0.373
69, 115, 83, 134, 23.262, -2.513
82, 132, 56, 112, 32.950, 0.906
141, 140, 125, 129, 19.447, 0.968
143, 157, 150, 159, 7.037, -1.772
30, 17, 27, 15, 3.615, 0.658
90, 95, 86, 100, 6.086, 2.429
166, 160, 145, 37, 124.713, 0.165
120, 125, 110, 116, 13.374, 0.805
129, 162, 54, 111, 90.515, 0.976
44, 33, 44, 32, 1.260, 0.440
141, 148, 134, 147, 7.394, 1.373
144, 151, 150, 151, 6.736, -1.587
131, 27, 24, 71, 116.215, 1.962
136, 157, 123, 153, 14.117, 1.244
143, 71, 49, 63, 93.968, 1.486
69, 74, 67, 73, 2.432, 0.901
143, 70, 142, 71, 1.218, 1.906
62, 152, 148, 44, 138.840, -0.671
103, 97, 28, 57, 84.504, 1.086
124, 102, 135, 60, 43.690, -0.258
79, 163, 78, 164, 1.169, 2.545
66, 88, 96, 79, 31.790, -1.306
133, 156, 171, 169, 39.962, -1.908
139, 22, 142, 21, 3.619, -1.068
142, 96, 123, 101, 19.833, 1.841
134, 147, 45, 98, 101.217, 1.061
87, 120, 137, 59, 78.498, -0.692
123, 153, 174, 169, 53.665, -1.878
58, 142, 56, 144, 2.444, 2.244
118, 143, 163, 150, 45.940, -1.733
78, 164, 133, 67, 111.134, -0.510
49, 63, 46, 65, 3.400, 1.946
142, 71, 103, 32, 53.951, 0.787
44, 32, 46, 85, 52.451, -3.108
83, 134, 105, 155, 30.623, -2.303
54, 111, 112, 175, 85.849, -2.411
37, 65, 32, 63, 5.717, 1.173
118, 125, 72, 91, 57.167, 0.939
28, 57, 68, 166, 116.043, -2.790
123, 101, 168, 25, 88.885, -0.541
96, 79, 81, 91, 19.158, 2.197
27, 15, 131, 55, 110.792, -1.942
72, 144, 44, 90, 60.582, 0.477
144, 80, 135, 79, 8.802, 1.488
56, 112, 69, 148, 38.050, -2.806
122, 141, 45, 100, 87.879, 1.084
24, 71, 44, 86, 24.731, -2.196
145, 37, 35, 90, 122.118, 2.014
45, 91, 118, 132, 83.584, -2.084
142, 21, 131, 17, 11.859, 1.263
72, 81, 85, 121, 41.458, -2.832
45, 97, 75, 123, 39.903, -2.302
69, 111, 64, 111, 4.425, 1.627
123, 128, 127, 127, 3.941, -1.500
173, 100, 170, 99, 2.922, 1.095
59, 122, 157, 157, 103.096, -1.913
45, 98, 138, 138, 100.979, -1.983
80, 100, 77, 105, 5.381, 2.547
49, 108, 57, 117, 11.619, -2.368
88, 129, 94, 132, 7.002, -1.960
59, 122, 57, 121, 2.153, 0.947
131, 55, 127, 54, 3.476, 1.215
133, 67, 129, 66, 3.748, 1.263
72, 91, 109, 141, 61.698, -2.504
56, 144, 53, 143, 2.632, 1.265
75, 123, 64, 102, 24.555, 0.477
68, 166, 65, 166, 3.558, 1.510
112, 175, 110, 91, 84.051, 0.013
92, 57, 88, 56, 3.696, 1.088
39, 29, 37, 28, 1.801, 0.824
137, 59, 133, 59, 3.851, 1.388
95, 91, 92, 89, 2.647, 1.055
32, 63, 130, 118, 112.692, -2.082
148, 68, 19, 76, 129.627, 1.631
135, 79, 133, 78, 2.072, 0.787
151, 104, 96, 136, 63.053, 2.104
22, 12, 65, 136, 130.954, -2.805
148, 68, 145, 67, 2.477, 1.472
168, 25, 101, 35, 67.841, 1.710
163, 150, 149, 148, 14.989, 1.454
103, 32, 27, 77, 88.599, 2.093
66, 109, 18, 85, 53.378, 1.115
27, 77, 22, 53, 24.483, 0.179
71, 90, 70, 88, 2.888, 0.641
157, 157, 58, 56, 140.541, 0.772
96, 136, 94, 135, 2.628, 1.150
127, 127, 63, 168, 75.973, 2.130
96, 136, 75, 108, 35.062, 0.644
170, 99, 107, 90, 64.098, 1.426
57, 117, 104, 17, 110.191, -0.447
101, 37, 100, 35, 2.123, 0.554
19, 86, 16, 86, 2.707, 1.547
65, 166, 82, 144, 27.479, -0.668
101, 35, 65, 136, 108.007, 2.804
41, 94, 95, 115, 57.680, -1.956
149, 148, 38, 113, 116.112, 1.259
57, 105, 81, 142, 44.623, -2.567
88, 56, 85, 54, 3.456, 1.234
65, 136, 88, 103, 39.968, -0.624
110, 91, 72, 78, 40.589, 1.261
52, 53, 49, 51, 4.068, 1.090
64, 102, 59, 107, 7.445, 2.412
109, 141, 110, 140, 1.050, -0.649
129, 66, 127, 65, 2.464, 1.458
92, 153, 88, 87, 66.253, 0.054
112, 141, 61, 71, 86.279, 0.639
37, 28, 155, 144, 165.651, -2.347
57, 121, 31, 107, 30.078, 1.073
16, 86, 96, 125, 88.861, -2.031
48, 51, 46, 50, 2.718, 1.228
101, 33, 100, 32, 1.958, 0.560
75, 108, 73, 108, 1.826, 1.847
70, 87, 70, 85, 2.017, 0.248
22, 53, 21, 51, 1.744, 0.600
95, 115, 93, 115, 1.853, 1.146
89, 103, 87, 102, 2.315, 1.327
94, 135, 91, 139, 4.738, 2.405
61, 71, 59, 70, 2.216, 0.757
121, 151, 118, 150, 2.718, 1.365
85, 54, 83, 53, 3.106, 0.942
104, 17, 102, 17, 2.918, 1.379
63, 168, 62, 169, 1.313, 2.904
52, 72, 50, 71, 2.234, 1.127
31, 19, 28, 17, 3.572, 0.829
107, 90, 104, 88, 2.830, 1.005
72, 78, 71, 77, 2.155, 0.617
112, 143, 87, 106, 43.886, 0.597
59, 107, 44, 106, 14.432, 1.454
129, 172, 134, 82, 90.077, -0.054
88, 87, 41, 109, 52.408, 1.992
58, 56, 58, 54, 2.142, 0.373
82, 144, 17, 40, 122.299, 0.555
96, 125, 72, 119, 25.229, 1.311
98, 125, 73, 118, 25.921, 1.315
46, 50, 43, 49, 3.453, 1.154
21, 51, 123, 173, 158.606, -2.443
100, 32, 101, 30, 2.117, -0.569
73, 108, 72, 105, 3.671, 0.502
70, 85, 67, 85, 2.444, 1.594
59, 70, 56, 67, 3.820, 0.764
41, 109, 40, 108, 0.871, 0.885
71, 77, 69, 77, 1.928, 1.543
62, 169, 43, 48, 122.377, 0.162
104, 88, 120, 80, 18.148, -1.069
102, 17, 97, 17, 4.132, 1.626
44, 106, 49, 113, 8.356, -2.566
87, 103, 83, 100, 4.409, 0.855
87, 102, 84, 100, 3.677, 0.873
118, 150, 114, 151, 4.257, 1.635
49, 113, 88, 114, 39.400, -1.609
51, 71, 106, 138, 86.802, -2.452
29, 20, 27, 19, 2.990, 1.156
17, 40, 134, 12, 120.183, -1.333
83, 53, 100, 159, 108.003, -2.982
134, 141, 120, 77, 64.863, 0.213
58, 54, 53, 53, 4.659, 1.427
141, 74, 88, 115, 66.853, 2.221
72, 119, 120, 173, 73.060, -2.409
43, 49, 18, 46, 24.878, 1.475
123, 173, 34, 67, 138.512, 0.701
100, 87, 97, 86, 3.028, 1.248
101, 30, 99, 29, 2.628, 1.007
40, 108, 30, 111, 10.109, 1.858
60, 172, 105, 67, 114.365, -0.404
72, 105, 69, 105, 2.242, 1.741
123, 46, 175, 13, 61.566, -1.004
56, 67, 53, 67, 3.881, 1.532
49, 113, 66, 125, 21.403, -2.220
120, 80, 132, 69, 16.039, -0.863
97, 17, 95, 16, 2.263, 1.226
114, 151, 112, 150, 1.882, 1.277
134, 12, 40, 47, 100.564, 1.926
53, 53, 51, 52, 2.512, 1.261
88, 115, 85, 114, 2.357, 1.354
68, 76, 65, 75, 2.784, 1.336
83, 28, 52, 125, 102.027, 2.826
121, 45, 74, 49, 47.521, 1.654
40, 47, 36, 46, 3.534, 1.327
101, 140, 98, 140, 3.129, 1.625
18, 46, 95, 29, 78.783, -1.344
97, 86, 94, 85, 3.052, 1.035
53, 67, 50, 65, 2.544, 0.993
180, 80, 176, 80, 4.209, 1.541
85, 114, 83, 113, 2.563, 0.980
51, 52, 48, 51, 2.768, 1.200
65, 75, 43, 82, 23.355, 1.878
112, 150, 108, 150, 4.301, 1.472
30, 111, 142, 147, 117.240, -1.886
105, 67, 102, 73, 6.577, 2.768
