x1, y1, x2, y2, d, a, t
19, 58, 33, 55, 14.694, -1.394, 19
38, 63, 52, 59, 14.576, -1.310, 19
71, 60, 87, 51, 18.859, -1.052, 19
22, 60, 26, 66, 6.863, -2.586, 20
67, 55, 86, 48, 19.386, -1.215, 21
91, 41, 111, 30, 23.305, -1.065, 21
71, 51, 88, 43, 18.459, -1.120, 21
61, 152, 64, 181, 28.969, -3.041, 22
10, 169, 20, 158, 14.646, -0.734, 23
48, 182, 51, 179, 4.453, -0.769, 24
91, 158, 111, 151, 21.070, -1.229, 26
27, 164, 6, 161, 20.549, 1.424, 28
115, 173, 97, 181, 19.430, 1.979, 29
97, 157, 100, 176, 19.328, -2.990, 29
66, 182, 68, 163, 19.190, -0.121, 29
60, 162, 66, 147, 16.259, -0.416, 30
116, 171, 114, 155, 15.997, 0.087, 30
115, 174, 98, 175, 16.709, 1.601, 30
45, 136, 26, 134, 18.777, 1.421, 30
62, 140, 81, 142, 18.789, -1.653, 30
101, 165, 105, 149, 16.492, -0.238, 30
82, 165, 78, 147, 18.417, 0.202, 30
119, 138, 109, 147, 13.313, 2.348, 30
68, 163, 74, 179, 17.275, -2.784, 30
21, 163, 17, 171, 9.456, 2.720, 31
41, 179, 34, 173, 9.473, 0.825, 31
21, 175, 30, 172, 10.074, -1.268, 31
159, 178, 146, 179, 13.022, 1.675, 31
89, 123, 78, 130, 13.554, 2.132, 32
40, 158, 53, 155, 14.068, -1.356, 32
40, 158, 53, 155, 14.068, -1.356, 32
30, 161, 44, 157, 14.429, -1.258, 32
34, 173, 48, 170, 14.109, -1.397, 32
75, 152, 86, 157, 11.159, -1.996, 32
87, 155, 98, 163, 14.133, -2.239, 32
50, 169, 64, 166, 13.691, -1.411, 32
30, 172, 45, 169, 14.429, -1.343, 32
51, 173, 66, 171, 15.116, -1.436, 32
146, 173, 157, 176, 11.477, -1.790, 32
71, 184, 84, 181, 13.626, -1.412, 32
89, 117, 103, 123, 14.687, -1.973, 32
154, 168, 169, 180, 19.013, -2.233, 32
55, 123, 60, 141, 18.121, -2.858, 32
55, 123, 60, 141, 18.121, -2.858, 32
125, 177, 138, 181, 14.000, -1.807, 32
48, 182, 64, 181, 16.295, -1.494, 32
53, 131, 55, 117, 14.281, -0.179, 32
109, 169, 126, 172, 17.933, -1.750, 32
44, 171, 59, 171, 14.546, -1.555, 32
28, 79, 40, 79, 12.064, -1.549, 32
26, 126, 41, 119, 16.646, -1.168, 33
88, 131, 100, 131, 12.666, -1.568, 33
52, 171, 65, 170, 13.640, -1.512, 33
80, 180, 95, 181, 14.922, -1.597, 33
80, 180, 95, 181, 14.922, -1.597, 33
79, 82, 90, 90, 13.731, -2.232, 33
59, 115, 70, 112, 11.560, -1.333, 33
83, 130, 97, 128, 13.424, -1.407, 33
58, 134, 55, 145, 11.507, 2.873, 33
100, 135, 113, 133, 13.429, -1.400, 33
50, 136, 43, 146, 12.070, 2.497, 33
37, 152, 51, 147, 14.522, -1.284, 33
35, 164, 49, 161, 14.997, -1.325, 33
64, 166, 53, 173, 12.150, 2.105, 33
98, 175, 113, 178, 15.544, -1.775, 33
169, 176, 184, 178, 15.416, -1.678, 33
58, 120, 52, 133, 14.722, 2.704, 33
32, 167, 46, 163, 14.568, -1.279, 33
66, 171, 60, 158, 13.938, 0.445, 33
72, 175, 86, 176, 14.175, -1.644, 33
107, 180, 122, 182, 15.079, -1.712, 33
125, 149, 138, 151, 12.726, -1.657, 33
46, 161, 60, 158, 14.066, -1.391, 33
52, 164, 62, 168, 10.995, -1.870, 33
158, 164, 176, 169, 18.544, -1.818, 33
135, 169, 145, 163, 11.699, -1.016, 33
84, 181, 98, 183, 13.738, -1.689, 33
132, 181, 146, 181, 13.834, -1.568, 33
78, 130, 87, 124, 11.056, -0.949, 33
71, 164, 85, 166, 13.374, -1.670, 33
59, 171, 72, 172, 12.746, -1.639, 33
101, 108, 112, 107, 11.346, -1.480, 34
73, 117, 68, 100, 17.505, 0.244, 34
25, 133, 15, 121, 15.705, 0.717, 34
113, 133, 127, 129, 14.645, -1.298, 34
113, 144, 98, 140, 16.215, 1.362, 34
75, 149, 88, 139, 16.434, -0.941, 34
51, 147, 64, 145, 13.703, -1.419, 34
120, 148, 111, 141, 10.931, 0.902, 34
49, 161, 63, 157, 14.272, -1.311, 34
99, 117, 90, 103, 15.903, 0.554, 34
82, 119, 95, 115, 13.985, -1.300, 34
74, 143, 88, 143, 14.140, -1.551, 34
158, 164, 171, 163, 13.209, -1.433, 34
95, 176, 110, 178, 14.589, -1.668, 34
95, 121, 108, 119, 13.241, -1.367, 34
111, 155, 128, 158, 17.796, -1.724, 34
60, 158, 76, 156, 16.203, -1.418, 34
60, 158, 76, 156, 16.203, -1.418, 34
56, 163, 71, 161, 14.431, -1.450, 34
157, 176, 170, 176, 12.607, -1.591, 34
113, 178, 129, 180, 15.815, -1.709, 34
138, 151, 154, 151, 16.531, -1.572, 34
57, 153, 71, 151, 13.885, -1.413, 34
130, 133, 135, 120, 14.418, -0.388, 34
47, 154, 63, 153, 15.670, -1.516, 34
124, 110, 136, 111, 12.639, -1.648, 34
165, 170, 165, 153, 16.665, -0.030, 34
72, 172, 84, 171, 12.084, -1.461, 34
72, 172, 84, 171, 12.084, -1.461, 34
134, 160, 149, 160, 15.235, -1.510, 34
32, 79, 30, 66, 13.492, 0.160, 34
113, 103, 97, 99, 16.436, 1.331, 35
42, 129, 64, 124, 22.342, -1.360, 35
38, 156, 23, 148, 17.147, 1.095, 35
43, 39, 45, 19, 20.341, -0.114, 35
125, 91, 109, 108, 22.713, 2.382, 35
40, 92, 57, 91, 17.357, -1.510, 35
121, 132, 105, 145, 21.537, 2.251, 35
92, 62, 76, 65, 16.314, 1.728, 35
128, 158, 145, 172, 22.112, -2.271, 35
111, 85, 90, 76, 23.659, 1.161, 35
68, 100, 59, 114, 16.468, 2.551, 35
101, 112, 81, 110, 19.432, 1.451, 35
140, 163, 156, 157, 16.658, -1.180, 35
93, 31, 102, 35, 9.645, -2.057, 36
97, 40, 105, 47, 11.243, -2.275, 36
77, 106, 84, 95, 12.968, -0.607, 36
15, 117, 4, 113, 11.747, 1.263, 36
100, 137, 110, 146, 13.710, -2.262, 36
66, 27, 65, 46, 18.988, 3.097, 37
94, 74, 90, 56, 18.328, 0.200, 37
83, 76, 72, 53, 25.477, 0.481, 37
136, 96, 146, 76, 22.320, -0.462, 37
83, 129, 93, 146, 19.536, -2.598, 37
176, 151, 186, 169, 21.117, -2.617, 37
119, 85, 122, 65, 20.596, -0.159, 37
119, 151, 142, 159, 24.565, -1.927, 37
113, 154, 126, 141, 17.946, -0.756, 37
86, 43, 103, 38, 17.884, -1.320, 37
88, 33, 102, 26, 15.971, -1.090, 37
95, 79, 109, 71, 15.808, -1.084, 37
95, 79, 109, 71, 15.808, -1.084, 37
87, 83, 99, 72, 16.071, -0.789, 37
58, 13, 87, 17, 28.360, -1.709, 38
86, 115, 79, 92, 24.489, 0.273, 38
108, 122, 123, 141, 23.671, -2.459, 38
86, 124, 111, 122, 25.089, -1.505, 38
108, 125, 127, 138, 22.884, -2.173, 38
99, 19, 120, 19, 20.291, -1.540, 38
56, 56, 74, 38, 25.501, -0.754, 38
123, 131, 135, 149, 21.306, -2.510, 38
121, 45, 148, 37, 28.464, -1.282, 38
113, 54, 102, 30, 25.520, 0.430, 38
142, 67, 153, 48, 21.771, -0.515, 38
110, 138, 123, 122, 20.653, -0.670, 38
125, 31, 144, 18, 22.384, -0.971, 38
159, 153, 141, 143, 20.408, 1.053, 38
102, 26, 126, 20, 24.733, -1.321, 38
175, 28, 157, 25, 17.794, 1.421, 39
156, 39, 170, 56, 22.555, -2.463, 39
162, 66, 158, 50, 16.915, 0.252, 39
82, 94, 103, 103, 23.367, -1.964, 39
131, 6, 125, 29, 23.174, 2.890, 39
137, 57, 132, 37, 21.135, 0.259, 39
