x1, y1, x2, y2, d, a, t, dc
47, 33, 87, 54, 45.710, -2.048, 2, 0.888
53, 37, 105, 84, 70.846, -2.309, 2, 0.740
77, 37, 76, 43, 6.203, 3.109, 2, 0.032
49, 38, 47, 38, 2.000, 1.571, 2, 1.000
124, 38, 77, 66, 54.708, 2.108, 2, 0.859
113, 40, 60, 55, 54.702, 1.854, 2, 0.960
53, 41, 52, 43, 2.236, 2.678, 2, 0.447
69, 42, 133, 35, 64.382, -1.462, 2, 0.994
77, 43, 75, 51, 8.713, 2.980, 2, 0.161
45, 47, 44, 52, 5.099, 2.944, 2, 0.196
86, 47, 112, 46, 26.801, -1.563, 2, 1.000
135, 47, 77, 65, 60.206, 1.886, 2, 0.951
121, 48, 85, 73, 43.829, 2.178, 2, 0.821
83, 50, 47, 51, 36.014, 1.599, 2, 1.000
61, 51, 133, 40, 72.835, -1.419, 2, 0.989
87, 52, 131, 36, 46.819, -1.222, 2, 0.940
107, 54, 50, 34, 60.407, 1.233, 2, 0.944
61, 55, 118, 39, 59.816, -1.310, 2, 0.966
89, 55, 85, 49, 7.211, 0.588, 2, 0.555
93, 56, 86, 54, 6.723, 1.379, 2, 0.982
112, 59, 106, 56, 6.708, 1.107, 2, 0.894
109, 61, 110, 67, 6.083, -2.976, 2, 0.164
104, 79, 127, 54, 34.106, -0.748, 2, 0.680
39, 80, 152, 127, 122.385, -1.965, 2, 0.923
144, 114, 70, 112, 73.459, 1.548, 2, 1.000
160, 133, 54, 92, 112.924, 1.201, 2, 0.932
52, 37, 53, 51, 14.648, -3.109, 2, 0.033
130, 37, 131, 42, 4.804, -3.100, 2, 0.042
61, 38, 55, 39, 6.229, 1.667, 2, 0.995
127, 38, 126, 54, 16.327, 3.112, 2, 0.029
70, 39, 110, 63, 46.305, -2.116, 2, 0.855
54, 40, 64, 55, 17.368, -2.528, 2, 0.576
112, 40, 113, 47, 6.203, -3.109, 2, 0.032
49, 42, 48, 45, 3.231, 2.761, 2, 0.371
66, 42, 135, 51, 70.055, -1.712, 2, 0.990
111, 44, 59, 46, 52.624, 1.601, 2, 1.000
52, 46, 103, 44, 50.457, -1.523, 2, 0.999
55, 46, 86, 76, 42.755, -2.324, 2, 0.730
86, 52, 86, 57, 4.224, -3.142, 2, 0.000
97, 52, 126, 40, 31.516, -1.153, 2, 0.914
108, 54, 51, 42, 57.662, 1.361, 2, 0.978
88, 55, 89, 60, 4.804, -3.100, 2, 0.042
92, 56, 93, 61, 4.639, -3.012, 2, 0.129
103, 79, 104, 84, 5.559, -2.904, 2, 0.236
38, 80, 40, 87, 6.791, -2.904, 2, 0.236
138, 111, 71, 112, 67.001, 1.577, 2, 1.000
148, 122, 151, 127, 5.367, -2.678, 2, 0.447
120, 47, 127, 61, 15.036, -2.714, 2, 0.415
60, 51, 57, 57, 6.440, 2.678, 2, 0.447
86, 51, 112, 46, 26.552, -1.352, 2, 0.976
120, 56, 57, 57, 63.942, 1.584, 2, 1.000
108, 60, 84, 60, 23.040, 1.571, 2, 1.000
79, 64, 77, 66, 2.036, 2.356, 2, 0.707
53, 86, 136, 52, 89.588, -1.177, 2, 0.923
120, 57, 66, 48, 55.696, 1.408, 2, 0.987
53, 86, 55, 91, 5.464, -2.820, 2, 0.316
125, 31, 47, 32, 78.006, 1.584, 3, 1.000
47, 35, 133, 38, 86.267, -1.610, 3, 0.999
126, 35, 128, 37, 2.828, -2.356, 3, 0.707
126, 40, 124, 41, 2.236, 2.034, 3, 0.894
133, 40, 132, 43, 3.162, 2.820, 3, 0.316
111, 42, 109, 43, 2.236, 2.034, 3, 0.894
131, 42, 130, 45, 3.162, 2.820, 3, 0.316
122, 44, 92, 68, 38.360, 2.260, 3, 0.772
113, 47, 110, 56, 9.487, 2.820, 3, 0.316
62, 50, 62, 54, 4.020, -3.042, 3, 0.100
79, 50, 69, 67, 20.253, 2.632, 3, 0.488
47, 51, 48, 52, 2.059, -2.634, 3, 0.486
76, 51, 118, 62, 44.292, -1.831, 3, 0.966
115, 52, 114, 52, 1.281, 2.246, 3, 0.781
