x1, y1, x2, y2, d, a, t, dc
128, 20, 121, 47, 27.457, 2.875, 1, 0.263
54, 27, 56, 32, 5.256, -2.825, 1, 0.312
28, 44, 85, 75, 64.909, -2.061, 1, 0.882
28, 44, 27, 47, 2.757, 2.878, 1, 0.261
126, 49, 126, 52, 2.327, -3.141, 1, 0.001
30, 144, 144, 175, 118.886, -1.840, 1, 0.964
12, 161, 16, 164, 5.303, -2.200, 1, 0.808
12, 161, 16, 164, 5.303, -2.200, 1, 0.808
9, 164, 14, 168, 5.875, -2.229, 1, 0.791
139, 179, 138, 180, 1.168, 2.351, 1, 0.711
139, 179, 122, 166, 20.339, 0.914, 1, 0.792
57, 12, 53, 15, 4.525, 2.221, 1, 0.796
56, 18, 111, 59, 68.178, -2.199, 1, 0.809
56, 18, 157, 4, 102.050, -1.427, 1, 0.990
68, 37, 65, 43, 6.749, 2.731, 1, 0.399
184, 49, 123, 144, 112.911, 2.568, 1, 0.543
78, 57, 41, 21, 51.657, 0.796, 1, 0.715
140, 66, 68, 104, 81.381, 2.059, 1, 0.883
39, 71, 16, 174, 105.137, 2.919, 1, 0.221
136, 111, 122, 166, 57.443, 2.902, 1, 0.238
145, 118, 147, 119, 2.303, -1.964, 1, 0.924
125, 165, 186, 53, 127.354, -0.507, 1, 0.486
122, 38, 56, 24, 67.773, 1.370, 1, 0.980
29, 47, 28, 50, 3.180, 2.960, 1, 0.181
29, 47, 28, 50, 3.180, 2.960, 1, 0.181
78, 63, 38, 22, 57.774, 0.765, 1, 0.692
18, 168, 164, 32, 199.299, -0.821, 1, 0.732
151, 175, 144, 175, 6.503, 1.625, 1, 0.999
23, 6, 21, 6, 1.895, 1.978, 1, 0.918
31, 5, 13, 8, 18.966, 1.721, 1, 0.989
166, 9, 167, 10, 0.975, -2.806, 1, 0.329
166, 9, 167, 10, 0.975, -2.806, 1, 0.329
134, 15, 88, 49, 57.089, 2.194, 1, 0.812
77, 63, 58, 60, 19.530, 1.426, 1, 0.990
77, 63, 58, 60, 19.530, 1.426, 1, 0.990
85, 55, 89, 63, 8.575, -2.711, 1, 0.417
50, 167, 50, 170, 2.202, 3.019, 1, 0.122
45, 13, 38, 26, 15.616, 2.630, 1, 0.489
72, 42, 72, 47, 4.826, -2.983, 1, 0.158
24, 7, 53, 56, 56.843, -2.612, 2, 0.505
17, 22, 79, 67, 76.706, -2.197, 2, 0.810
38, 22, 31, 17, 8.699, 0.950, 2, 0.813
56, 24, 122, 38, 67.895, -1.769, 2, 0.980
77, 37, 76, 43, 5.840, 3.020, 2, 0.121
49, 38, 173, 3, 128.648, -1.299, 2, 0.963
28, 42, 27, 46, 3.948, 2.919, 2, 0.221
127, 51, 127, 55, 4.423, -3.087, 2, 0.054
186, 53, 181, 49, 6.873, 0.923, 2, 0.797
186, 53, 181, 49, 6.873, 0.923, 2, 0.797
111, 59, 111, 64, 5.608, 3.054, 2, 0.088
109, 61, 127, 43, 25.019, -0.800, 2, 0.717
64, 64, 178, 58, 113.835, -1.520, 2, 0.999
85, 75, 17, 30, 81.676, 0.986, 2, 0.834
38, 80, 172, 21, 146.034, -1.158, 2, 0.916
68, 104, 35, 66, 50.789, 0.726, 2, 0.664
68, 104, 44, 52, 57.832, 0.431, 2, 0.418
28, 143, 147, 177, 123.790, -1.849, 2, 0.962
128, 3, 113, 47, 46.671, 2.813, 2, 0.322
179, 3, 177, 6, 3.476, 2.429, 2, 0.654
157, 4, 65, 27, 95.257, 1.819, 2, 0.969
175, 6, 51, 18, 124.452, 1.666, 2, 0.995
71, 7, 69, 8, 2.687, 2.242, 2, 0.783
182, 15, 180, 20, 4.548, 2.697, 2, 0.430
182, 19, 180, 23, 4.086, 2.572, 2, 0.540
178, 20, 176, 24, 4.074, 2.701, 2, 0.426
129, 24, 89, 60, 53.527, 2.303, 2, 0.744
31, 28, 86, 76, 72.659, -2.289, 2, 0.753
166, 29, 165, 32, 2.460, 2.943, 2, 0.198
166, 29, 55, 92, 126.943, 2.088, 2, 0.869
131, 31, 129, 29, 2.850, 0.718, 2, 0.658
56, 32, 55, 38, 6.006, 2.924, 2, 0.216
27, 47, 27, 50, 3.349, 3.070, 2, 0.071
42, 68, 42, 73, 5.088, -3.117, 2, 0.025
42, 68, 11, 131, 69.670, 2.689, 2, 0.437
54, 86, 183, 53, 133.377, -1.325, 2, 0.970
54, 86, 3, 156, 86.645, 2.512, 2, 0.589
148, 122, 27, 46, 142.652, 1.011, 2, 0.847
141, 168, 110, 59, 113.588, 0.282, 2, 0.279
12, 175, 30, 49, 127.632, -0.136, 2, 0.136
49, 4, 127, 43, 87.218, -2.033, 2, 0.895
174, 19, 65, 27, 109.606, 1.646, 2, 0.997
54, 46, 51, 48, 2.903, 2.260, 2, 0.771
54, 46, 51, 48, 2.903, 2.260, 2, 0.771
121, 47, 121, 50, 3.802, 3.083, 2, 0.058
135, 46, 135, 51, 4.662, -3.014, 2, 0.128
14, 168, 177, 16, 222.274, -0.821, 2, 0.732
23, 5, 173, 8, 149.300, -1.589, 2, 1.000
13, 8, 62, 54, 67.130, -2.326, 2, 0.728
47, 12, 130, 38, 87.308, -1.870, 2, 0.956
147, 15, 158, 13, 10.735, -1.348, 2, 0.975
118, 19, 117, 23, 4.494, 2.910, 2, 0.230
126, 28, 127, 7, 21.138, -0.080, 2, 0.080
88, 49, 87, 55, 5.790, 3.076, 2, 0.066
75, 58, 51, 18, 46.694, 0.537, 2, 0.512
11, 98, 11, 131, 32.513, 3.134, 2, 0.007
9, 129, 17, 30, 99.470, -0.083, 2, 0.083
9, 129, 4, 129, 4.625, 1.502, 2, 0.998
122, 166, 121, 167, 1.870, 1.761, 2, 0.982
122, 166, 121, 167, 1.870, 1.761, 2, 0.982
167, 10, 165, 16, 6.904, 2.903, 2, 0.236
53, 15, 117, 23, 63.758, -1.703, 2, 0.991
40, 15, 37, 21, 6.675, 2.727, 2, 0.402
28, 50, 62, 54, 33.756, -1.700, 2, 0.992
59, 51, 114, 172, 132.298, -2.719, 2, 0.410
126, 52, 44, 18, 88.222, 1.181, 2, 0.925
16, 174, 24, 180, 9.936, -2.272, 2, 0.764
16, 174, 42, 73, 103.769, -0.250, 2, 0.248
68, 36, 79, 3, 34.370, -0.306, 2, 0.301
97, 52, 96, 57, 5.828, 3.004, 2, 0.137
75, 66, 55, 52, 24.071, 0.955, 2, 0.816
147, 119, 41, 177, 120.854, 2.075, 2, 0.876
89, 63, 36, 14, 71.798, 0.821, 2, 0.732
72, 47, 73, 53, 5.721, -3.067, 2, 0.074
38, 26, 35, 32, 6.122, 2.695, 2, 0.432
46, 5, 42, 9, 6.046, 2.319, 3, 0.733
180, 20, 178, 21, 2.821, 2.322, 3, 0.731
46, 35, 7, 181, 151.293, 2.878, 3, 0.261
113, 47, 88, 59, 27.956, 2.023, 3, 0.900
30, 49, 30, 52, 2.587, -3.010, 3, 0.131
181, 49, 122, 53, 58.724, 1.634, 3, 0.998
27, 50, 27, 53, 2.630, 3.095, 3, 0.046
44, 52, 113, 173, 139.017, -2.625, 3, 0.494
178, 58, 151, 7, 57.217, 0.481, 3, 0.463
110, 59, 115, 61, 5.877, -1.876, 3, 0.954
110, 59, 110, 63, 4.134, -3.086, 3, 0.055
15, 140, 20, 105, 34.734, -0.143, 3, 0.142
21, 141, 18, 142, 2.737, 2.011, 3, 0.905
41, 177, 35, 70, 107.553, 0.064, 3, 0.064
24, 180, 28, 184, 5.711, -2.184, 3, 0.818
44, 2, 75, 2, 31.476, -1.562, 3, 1.000
177, 6, 175, 7, 2.763, 2.237, 3, 0.786
69, 8, 69, 11, 3.319, 3.087, 3, 0.055
177, 16, 52, 20, 124.305, 1.600, 3, 1.000
180, 23, 178, 26, 3.770, 2.697, 3, 0.431
176, 24, 175, 24, 1.552, 1.550, 3, 1.000
17, 30, 20, 105, 75.662, -3.110, 3, 0.031
17, 30, 17, 32, 2.169, 3.027, 3, 0.114
165, 32, 165, 32, 0.964, 2.584, 3, 0.529
55, 38, 112, 35, 57.179, -1.521, 3, 0.999
130, 41, 130, 45, 3.855, 3.074, 3, 0.068
130, 41, 48, 53, 82.677, 1.715, 3, 0.990
127, 43, 127, 47, 3.905, -3.123, 3, 0.018
27, 46, 28, 49, 2.266, -3.109, 3, 0.033
27, 46, 28, 49, 2.266, -3.109, 3, 0.033
51, 48, 124, 34, 73.955, -1.381, 3, 0.982
115, 52, 111, 59, 8.527, 2.699, 3, 0.429
89, 60, 124, 5, 64.567, -0.569, 3, 0.539
35, 66, 35, 70, 3.667, 3.137, 3, 0.005
114, 172, 151, 7, 169.240, -0.225, 3, 0.223
16, 174, 182, 140, 169.970, -1.371, 3, 0.980
16, 174, 182, 140, 169.970, -1.371, 3, 0.980
173, 8, 171, 10, 2.243, 2.539, 3, 0.566
31, 17, 29, 18, 2.182, 2.087, 3, 0.870
31, 17, 42, 48, 33.238, -2.800, 3, 0.335
122, 38, 122, 41, 3.571, -3.111, 3, 0.031
46, 40, 135, 15, 92.736, -1.299, 3, 0.963
55, 92, 56, 97, 5.346, -2.932, 3, 0.208
147, 177, 57, 55, 151.220, 0.635, 3, 0.593
127, 7, 88, 59, 66.062, 2.495, 3, 0.602
127, 7, 127, 9, 2.823, 2.961, 3, 0.179
172, 21, 171, 23, 2.224, 2.686, 3, 0.440
41, 25, 46, 38, 14.168, -2.797, 3, 0.338
46, 41, 35, 21, 22.027, 0.509, 3, 0.487
121, 50, 57, 63, 64.491, 1.766, 3, 0.981
183, 53, 183, 55, 2.132, 3.018, 3, 0.124
183, 53, 183, 55, 2.132, 3.018, 3, 0.124
87, 55, 46, 38, 44.797, 1.197, 3, 0.931
96, 57, 98, 63, 5.252, -2.912, 3, 0.227
86, 76, 42, 48, 51.894, 0.996, 3, 0.840
121, 167, 119, 168, 1.841, 2.103, 3, 0.862
121, 167, 119, 168, 1.841, 2.103, 3, 0.862
36, 14, 34, 16, 2.372, 2.371, 3, 0.697
130, 14, 131, 17, 2.833, -2.841, 3, 0.296
117, 23, 116, 25, 2.238, 2.915, 3, 0.225
117, 23, 116, 25, 2.238, 2.915, 3, 0.225
58, 46, 57, 49, 3.511, 2.876, 3, 0.263
51, 172, 65, 126, 47.706, -0.291, 3, 0.287
165, 16, 52, 20, 112.912, 1.603, 3, 0.999
44, 18, 43, 23, 4.590, 2.854, 3, 0.284
135, 173, 134, 173, 0.573, 2.001, 3, 0.909
135, 173, 28, 184, 107.217, 1.672, 3, 0.995
73, 53, 73, 58, 4.847, -3.073, 3, 0.068
35, 32, 64, 67, 46.041, -2.450, 3, 0.638
65, 27, 61, 28, 3.553, 1.885, 3, 0.951
65, 27, 61, 28, 3.553, 1.885, 3, 0.951
124, 5, 123, 8, 2.898, 3.067, 4, 0.074
151, 7, 177, 63, 61.257, -2.714, 4, 0.415
42, 9, 62, 59, 53.816, -2.746, 4, 0.386
121, 19, 78, 53, 54.957, 2.242, 4, 0.783
135, 20, 90, 5, 47.079, 1.231, 4, 0.943
35, 21, 36, 44, 22.549, -3.107, 4, 0.035
175, 24, 94, 59, 88.105, 1.975, 4, 0.919
17, 32, 16, 35, 2.921, 2.636, 4, 0.485
46, 38, 47, 45, 6.790, -2.916, 4, 0.224
46, 38, 78, 53, 35.428, -2.007, 4, 0.906
126, 43, 173, 20, 52.416, -1.099, 4, 0.891
127, 47, 126, 52, 4.826, 3.041, 4, 0.101
42, 48, 32, 8, 41.321, 0.259, 4, 0.256
30, 52, 30, 57, 5.056, -3.120, 4, 0.022
48, 53, 99, 63, 51.390, -1.766, 4, 0.981
111, 59, 112, 65, 5.737, -3.026, 4, 0.116
115, 61, 114, 63, 2.361, 2.568, 4, 0.543
110, 63, 110, 66, 2.671, 3.057, 4, 0.084
18, 142, 13, 30, 112.739, 0.046, 4, 0.046
15, 143, 176, 5, 212.078, -0.857, 4, 0.756
56, 173, 16, 143, 50.272, 0.924, 4, 0.798
7, 181, 118, 39, 180.039, -0.666, 4, 0.618
75, 2, 69, 9, 9.701, 2.437, 4, 0.648
175, 7, 172, 9, 2.795, 1.969, 4, 0.922
171, 10, 170, 11, 1.906, 2.582, 4, 0.530
135, 15, 137, 19, 3.870, -2.654, 4, 0.468
178, 26, 177, 27, 1.585, 2.091, 4, 0.868
46, 32, 44, 39, 6.902, 2.808, 4, 0.327
133, 39, 41, 28, 92.945, 1.455, 4, 0.993
133, 39, 26, 57, 108.224, 1.739, 4, 0.986
27, 53, 26, 57, 3.850, 3.012, 4, 0.129
32, 55, 18, 140, 86.729, 2.979, 4, 0.162
88, 59, 38, 6, 72.832, 0.753, 4, 0.684
88, 59, 87, 65, 5.484, 3.106, 4, 0.036
35, 70, 16, 35, 40.314, 0.492, 4, 0.472
35, 70, 35, 75, 4.661, -3.056, 4, 0.086
43, 77, 43, 82, 4.942, -3.026, 4, 0.115
56, 97, 27, 57, 49.823, 0.636, 4, 0.594
20, 105, 104, 181, 113.431, -2.305, 4, 0.742
14, 136, 25, 62, 74.287, -0.157, 4, 0.156
182, 140, 13, 30, 202.126, 0.991, 4, 0.836
4, 156, 182, 58, 203.424, -1.069, 4, 0.877
28, 184, 134, 173, 105.818, -1.466, 4, 0.995
134, 5, 134, 8, 2.462, -3.042, 4, 0.099
69, 11, 38, 6, 31.355, 1.400, 4, 0.985
29, 18, 32, 8, 10.008, -0.248, 4, 0.245
128, 32, 129, 35, 3.815, -3.035, 4, 0.106
45, 44, 64, 3, 46.155, -0.430, 4, 0.417
183, 55, 182, 58, 3.008, 2.948, 4, 0.192
70, 66, 27, 58, 43.198, 1.367, 4, 0.979
119, 168, 102, 73, 96.273, 0.179, 4, 0.178
119, 168, 118, 168, 1.081, 2.085, 4, 0.871
61, 6, 42, 10, 19.230, 1.760, 4, 0.982
159, 14, 161, 13, 1.788, -1.362, 4, 0.978
131, 17, 132, 20, 3.899, -2.794, 4, 0.341
122, 41, 123, 45, 3.750, -3.028, 4, 0.113
122, 41, 123, 45, 3.750, -3.028, 4, 0.113
