x1, y1, x2, y2, d, a, t, dc
85, 41, 85, 45, 3.878, -3.126, 2, 0.015
137, 31, 138, 31, 0.503, -2.086, 2, 0.870
122, 49, 122, 54, 4.703, -3.048, 2, 0.093
87, 48, 86, 54, 6.377, 3.038, 2, 0.104
45, 39, 101, 77, 67.731, -2.160, 2, 0.831
87, 66, 124, 32, 50.361, -0.852, 2, 0.753
39, 75, 51, 172, 96.976, -3.017, 2, 0.124
127, 165, 125, 166, 1.716, 1.838, 2, 0.965
51, 22, 98, 52, 55.587, -2.136, 2, 0.844
121, 36, 130, 14, 24.419, -0.389, 2, 0.380
135, 172, 150, 14, 158.821, -0.094, 2, 0.094
132, 25, 59, 54, 78.783, 1.949, 2, 0.929
135, 18, 119, 174, 156.850, 3.034, 2, 0.107
121, 60, 116, 65, 6.775, 2.295, 2, 0.749
33, 46, 176, 52, 142.634, -1.617, 2, 0.999
51, 44, 103, 57, 53.381, -1.814, 2, 0.971
91, 62, 92, 65, 4.051, -2.952, 2, 0.188
36, 23, 40, 66, 43.628, -3.063, 2, 0.078
20, 142, 86, 76, 93.077, -0.782, 2, 0.705
148, 32, 145, 32, 2.992, 1.644, 2, 0.997
39, 55, 39, 60, 4.356, 3.069, 2, 0.073
174, 29, 174, 31, 2.582, 2.955, 2, 0.185
39, 55, 39, 61, 5.332, -3.129, 2, 0.013
136, 164, 16, 134, 123.598, 1.324, 2, 0.970
133, 53, 134, 57, 4.176, -2.881, 2, 0.258
37, 28, 83, 61, 56.969, -2.193, 2, 0.813
138, 162, 134, 164, 3.684, 2.035, 2, 0.894
137, 41, 29, 23, 110.369, 1.401, 2, 0.986
82, 59, 141, 10, 76.544, -0.889, 2, 0.776
59, 60, 69, 62, 10.591, -1.829, 2, 0.967
105, 47, 107, 49, 3.068, -2.481, 2, 0.613
26, 33, 41, 63, 33.212, -2.697, 2, 0.430
12, 26, 10, 30, 4.116, 2.806, 2, 0.329
44, 18, 42, 22, 4.814, 2.838, 3, 0.299
172, 21, 171, 23, 2.119, 2.734, 3, 0.397
67, 42, 42, 22, 31.469, 0.873, 3, 0.766
42, 27, 44, 33, 5.737, -2.933, 3, 0.207
73, 53, 73, 56, 3.430, 3.121, 3, 0.021
124, 32, 123, 35, 3.215, 2.682, 3, 0.443
28, 53, 15, 34, 22.388, 0.598, 3, 0.563
130, 14, 131, 16, 2.603, -2.973, 3, 0.168
130, 38, 130, 41, 3.559, -3.024, 3, 0.118
111, 35, 110, 36, 1.670, 2.441, 3, 0.645
117, 22, 117, 24, 1.986, -3.128, 3, 0.014
127, 46, 128, 50, 4.372, -2.905, 3, 0.234
115, 31, 113, 34, 3.667, 2.530, 3, 0.574
161, 21, 160, 24, 3.169, 2.650, 3, 0.472
45, 43, 46, 47, 3.949, -2.939, 3, 0.201
86, 76, 27, 55, 62.582, 1.226, 3, 0.941
35, 31, 34, 15, 16.661, 0.045, 3, 0.045
69, 62, 37, 31, 45.152, 0.785, 3, 0.707
136, 31, 136, 31, 0.282, 2.692, 3, 0.435
138, 31, 141, 32, 2.946, -1.928, 3, 0.937
94, 58, 93, 63, 4.957, 2.956, 3, 0.184
141, 31, 140, 40, 8.337, 2.919, 3, 0.221
141, 32, 141, 32, 0.658, -2.784, 3, 0.350
141, 10, 39, 52, 110.196, 1.959, 3, 0.926
178, 11, 175, 13, 3.299, 2.237, 3, 0.786
85, 45, 90, 50, 7.596, -2.429, 3, 0.654
92, 65, 92, 74, 8.427, -3.090, 3, 0.052
145, 32, 156, 22, 15.215, -0.847, 3, 0.749
98, 52, 98, 53, 0.487, 2.853, 3, 0.284
103, 57, 103, 60, 2.678, 3.030, 3, 0.112
29, 23, 27, 25, 2.807, 2.687, 3, 0.439
64, 61, 63, 65, 4.247, 3.009, 3, 0.132
134, 164, 48, 59, 135.430, 0.687, 3, 0.634
174, 31, 173, 33, 1.658, 2.641, 3, 0.480
75, 20, 74, 23, 3.715, 2.813, 3, 0.322
114, 54, 112, 55, 2.173, 2.385, 3, 0.687
61, 69, 61, 71, 1.710, 3.121, 3, 0.021
80, 72, 20, 20, 78.394, 0.857, 3, 0.756
39, 61, 41, 63, 3.023, -2.463, 3, 0.628
176, 52, 176, 54, 1.548, 3.086, 3, 0.055
40, 66, 28, 68, 11.768, 1.695, 3, 0.992
107, 49, 99, 45, 9.890, 1.058, 3, 0.872
134, 57, 134, 60, 2.831, -3.125, 3, 0.017
122, 65, 124, 69, 4.852, -2.773, 3, 0.360
10, 30, 33, 53, 32.332, -2.366, 3, 0.700
116, 65, 113, 65, 2.965, 1.689, 3, 0.993
42, 22, 40, 27, 5.419, 2.788, 4, 0.347
42, 22, 96, 54, 62.793, -2.114, 4, 0.856
171, 23, 170, 25, 2.220, 2.617, 4, 0.501
73, 56, 73, 62, 5.627, 3.044, 4, 0.098
175, 13, 10, 135, 205.381, 2.206, 4, 0.805
117, 24, 118, 25, 1.158, -2.830, 4, 0.306
27, 55, 27, 59, 4.272, -3.112, 4, 0.030
34, 15, 33, 19, 3.975, 2.826, 4, 0.311
116, 44, 115, 45, 2.020, 2.390, 4, 0.683
110, 36, 109, 36, 1.069, 0.935, 4, 0.805
123, 35, 123, 38, 2.366, 3.098, 4, 0.044
141, 32, 142, 34, 2.297, -2.819, 4, 0.317
94, 24, 93, 28, 3.911, 2.925, 4, 0.215
162, 23, 161, 25, 2.160, 2.449, 4, 0.638
113, 34, 86, 44, 29.066, 1.918, 4, 0.940
130, 41, 128, 43, 2.747, 2.133, 4, 0.846
15, 34, 27, 59, 27.961, -2.688, 4, 0.438
92, 70, 92, 73, 2.871, -2.975, 4, 0.166
112, 55, 111, 58, 3.366, 2.620, 4, 0.498
160, 24, 159, 26, 1.967, 2.693, 4, 0.434
110, 58, 110, 64, 6.016, 3.086, 4, 0.055
128, 50, 114, 53, 14.702, 1.745, 4, 0.985
126, 43, 126, 46, 3.191, 3.075, 4, 0.067
85, 44, 83, 48, 4.010, 2.835, 4, 0.302
46, 47, 56, 55, 13.214, -2.272, 4, 0.764
37, 31, 35, 39, 8.275, 2.959, 4, 0.181
128, 167, 94, 20, 150.655, 0.229, 4, 0.227
44, 33, 45, 41, 7.695, -2.996, 4, 0.145
103, 60, 104, 67, 6.651, -3.034, 4, 0.107
92, 74, 93, 77, 2.775, -2.974, 4, 0.166
90, 50, 70, 47, 20.965, 1.409, 4, 0.987
102, 22, 103, 23, 1.488, -2.343, 4, 0.716
140, 40, 138, 47, 8.045, 2.997, 4, 0.144
61, 71, 62, 73, 2.101, -2.529, 4, 0.575
41, 63, 43, 66, 3.110, -2.672, 4, 0.453
113, 74, 74, 78, 38.742, 1.678, 4, 0.994
99, 45, 95, 45, 3.425, 1.645, 4, 0.997
33, 53, 36, 62, 10.444, -2.815, 4, 0.321
28, 68, 29, 73, 5.042, -3.010, 4, 0.131
113, 65, 116, 71, 6.088, -2.671, 4, 0.453
176, 54, 175, 56, 2.662, 2.830, 4, 0.307
136, 45, 136, 49, 4.273, -3.068, 4, 0.074
134, 60, 134, 64, 4.050, 3.136, 4, 0.006
39, 52, 40, 56, 4.408, -2.977, 4, 0.164
151, 172, 179, 19, 155.481, -0.185, 4, 0.184
124, 69, 111, 75, 14.136, 2.022, 4, 0.900
93, 63, 97, 72, 10.169, -2.709, 4, 0.419
40, 71, 36, 71, 4.980, 1.727, 4, 0.988
40, 27, 53, 48, 24.680, -2.585, 5, 0.529
170, 25, 171, 26, 1.274, -2.055, 5, 0.885
27, 59, 44, 94, 38.163, -2.679, 5, 0.446
118, 25, 119, 27, 2.652, -2.589, 5, 0.525
78, 55, 79, 60, 4.814, -3.073, 5, 0.068
115, 45, 114, 48, 2.318, 2.906, 5, 0.233
109, 35, 109, 36, 0.813, 3.137, 5, 0.005
73, 62, 71, 69, 7.150, 2.978, 5, 0.162
137, 31, 138, 35, 3.689, -2.841, 5, 0.296
70, 47, 54, 48, 15.397, 1.610, 5, 0.999
88, 57, 83, 44, 14.323, 0.306, 5, 0.301
128, 22, 129, 24, 1.955, -2.820, 5, 0.316
123, 38, 124, 40, 2.716, -2.902, 5, 0.238
103, 23, 102, 25, 1.878, 2.954, 5, 0.187
148, 37, 147, 36, 1.152, 1.328, 5, 0.971
161, 25, 158, 24, 2.876, 1.361, 5, 0.978
126, 46, 127, 50, 4.297, -2.770, 5, 0.363
104, 67, 104, 71, 4.775, -3.006, 5, 0.135
93, 28, 91, 60, 31.799, 3.057, 5, 0.085
94, 20, 102, 56, 36.980, -2.912, 5, 0.227
83, 48, 84, 53, 5.039, -3.110, 5, 0.032
45, 41, 44, 48, 7.403, 3.093, 5, 0.049
40, 14, 38, 18, 3.989, 2.652, 5, 0.470
56, 55, 79, 67, 25.545, -2.029, 5, 0.897
114, 53, 113, 54, 1.994, 2.696, 5, 0.431
92, 73, 93, 81, 7.783, -3.081, 5, 0.061
143, 24, 132, 47, 24.730, 2.695, 5, 0.432
86, 44, 100, 62, 22.944, -2.491, 5, 0.606
110, 64, 114, 67, 5.527, -2.201, 5, 0.808
166, 18, 160, 21, 6.912, 2.030, 5, 0.896
95, 45, 126, 15, 42.906, -0.802, 5, 0.719
93, 77, 132, 163, 95.316, -2.712, 5, 0.417
43, 66, 42, 70, 4.312, 2.971, 5, 0.170
106, 47, 94, 51, 12.556, 1.897, 5, 0.947
172, 36, 170, 40, 3.938, 2.702, 5, 0.425
29, 73, 30, 77, 4.216, -2.827, 5, 0.310
36, 62, 37, 65, 2.547, -3.037, 5, 0.104
97, 72, 100, 78, 5.955, -2.789, 5, 0.345
179, 19, 23, 68, 163.667, 1.873, 5, 0.955
36, 71, 130, 67, 94.317, -1.522, 5, 0.999
136, 49, 136, 54, 5.008, 3.132, 5, 0.010
138, 47, 21, 28, 118.747, 1.403, 5, 0.986
120, 64, 89, 66, 31.845, 1.634, 5, 0.998
143, 18, 143, 18, 0.164, -1.919, 5, 0.940
74, 78, 63, 75, 11.458, 1.292, 5, 0.961
134, 56, 133, 63, 6.810, 2.983, 5, 0.158
41, 30, 104, 42, 63.268, -1.766, 6, 0.981
171, 26, 169, 27, 2.317, 2.226, 6, 0.793
129, 24, 87, 65, 58.939, 2.340, 6, 0.719
126, 15, 127, 18, 3.215, -2.892, 6, 0.247
102, 25, 101, 28, 3.284, 2.870, 6, 0.268
109, 36, 109, 38, 1.603, -3.082, 6, 0.060
135, 33, 133, 35, 3.498, 2.171, 6, 0.825
171, 17, 120, 23, 51.372, 1.681, 6, 0.994
94, 51, 93, 53, 2.534, 2.638, 6, 0.482
119, 27, 120, 30, 3.112, -2.708, 6, 0.420
84, 53, 101, 42, 20.980, -1.019, 6, 0.851
127, 50, 128, 52, 2.098, -2.617, 6, 0.501
68, 52, 66, 58, 5.922, 2.812, 6, 0.323
91, 60, 91, 62, 2.030, -2.879, 6, 0.260
124, 40, 123, 41, 0.777, 2.291, 6, 0.751
79, 60, 78, 63, 3.726, 2.920, 6, 0.220
143, 176, 143, 176, 0.433, 1.162, 6, 0.918
114, 48, 113, 49, 1.933, 2.644, 6, 0.477
100, 62, 133, 51, 35.179, -1.243, 6, 0.947
38, 19, 35, 25, 6.323, 2.697, 6, 0.430
147, 36, 145, 39, 3.023, 2.437, 6, 0.647
38, 18, 35, 22, 5.174, 2.559, 6, 0.550
44, 48, 43, 55, 6.665, 2.906, 6, 0.233
158, 25, 95, 69, 76.869, 2.183, 6, 0.818
55, 64, 55, 71, 7.181, -3.140, 6, 0.001
160, 21, 94, 12, 67.050, 1.442, 6, 0.992
113, 54, 111, 56, 2.677, 2.465, 6, 0.626
114, 67, 112, 59, 8.362, 0.296, 6, 0.292
44, 94, 46, 98, 4.494, -2.731, 6, 0.399
49, 28, 46, 32, 5.262, 2.596, 6, 0.519
44, 96, 45, 102, 6.335, -2.992, 6, 0.149
143, 18, 98, 75, 72.933, 2.470, 6, 0.622
69, 71, 69, 75, 3.938, -2.916, 6, 0.223
120, 65, 114, 66, 6.061, 1.744, 6, 0.985
69, 71, 70, 75, 4.125, -2.968, 6, 0.172
21, 28, 35, 50, 26.134, -2.567, 6, 0.544
130, 67, 101, 64, 29.338, 1.467, 6, 0.995
93, 81, 93, 85, 4.198, -3.119, 6, 0.023
23, 68, 23, 72, 4.187, -3.080, 6, 0.062
79, 67, 80, 74, 6.988, -2.982, 6, 0.159
68, 21, 69, 33, 12.682, -3.093, 6, 0.048
136, 54, 15, 12, 128.347, 1.234, 6, 0.944
71, 119, 17, 144, 60.182, 2.004, 6, 0.908
133, 63, 119, 175, 112.864, 3.015, 6, 0.126
106, 50, 104, 51, 2.502, 1.852, 6, 0.961
42, 70, 41, 79, 8.853, 3.072, 6, 0.070
83, 44, 82, 48, 4.275, 2.853, 6, 0.285
63, 75, 47, 82, 17.743, 1.961, 6, 0.925
73, 41, 72, 46, 5.124, 3.075, 6, 0.066
136, 16, 139, 20, 4.931, -2.587, 6, 0.527
80, 135, 85, 141, 7.377, -2.487, 6, 0.609
79, 122, 24, 143, 58.621, 1.952, 6, 0.928
132, 163, 24, 23, 177.220, 0.657, 6, 0.611
133, 26, 132, 29, 3.329, 2.816, 7, 0.320
169, 27, 168, 29, 2.017, 2.532, 7, 0.573
93, 53, 92, 54, 1.401, 2.363, 7, 0.702
109, 38, 110, 40, 2.183, -2.999, 7, 0.142
128, 52, 130, 54, 2.902, -2.699, 7, 0.428
94, 12, 93, 14, 1.533, 3.103, 7, 0.038
113, 49, 115, 55, 5.683, -2.780, 7, 0.354
35, 50, 33, 56, 6.334, 2.819, 7, 0.317
133, 51, 134, 56, 4.848, -2.893, 7, 0.246
123, 41, 122, 44, 3.042, 2.985, 7, 0.156
102, 67, 103, 70, 4.064, -2.872, 7, 0.266
133, 35, 134, 39, 4.742, -2.714, 7, 0.414
91, 62, 92, 66, 4.235, -3.004, 7, 0.137
95, 69, 95, 74, 5.540, -3.050, 7, 0.091
40, 53, 39, 60, 7.336, 3.007, 7, 0.134
101, 64, 101, 68, 4.071, -3.068, 7, 0.074
84, 55, 85, 60, 4.556, -2.935, 7, 0.205
98, 40, 114, 47, 17.676, -1.950, 7, 0.929
101, 42, 97, 42, 4.256, 1.770, 7, 0.980
143, 176, 142, 176, 0.594, 1.855, 7, 0.960
76, 55, 76, 59, 4.290, -3.087, 7, 0.054
83, 24, 99, 28, 17.037, -1.820, 7, 0.969
35, 22, 32, 28, 6.279, 2.617, 7, 0.501
35, 25, 51, 18, 17.519, -1.147, 7, 0.912
17, 144, 127, 172, 113.824, -1.821, 7, 0.969
78, 63, 111, 58, 33.448, -1.400, 7, 0.985
90, 64, 91, 69, 4.206, -2.914, 7, 0.226
72, 46, 72, 49, 2.262, 3.134, 7, 0.008
98, 77, 100, 83, 6.852, -2.791, 7, 0.344
118, 58, 117, 60, 1.612, 2.899, 7, 0.240
108, 50, 105, 52, 2.830, 2.276, 7, 0.762
104, 42, 21, 13, 87.526, 1.230, 7, 0.943
74, 77, 19, 157, 97.290, 2.535, 7, 0.570
46, 98, 18, 96, 28.752, 1.503, 7, 0.998
55, 71, 55, 78, 7.216, 3.118, 7, 0.024
112, 59, 113, 62, 3.265, -2.792, 7, 0.342
15, 12, 11, 17, 6.432, 2.475, 7, 0.618
26, 33, 22, 40, 7.297, 2.644, 7, 0.477
93, 20, 92, 23, 2.323, 2.867, 7, 0.271
118, 37, 120, 41, 3.859, -2.765, 7, 0.368
45, 102, 48, 108, 6.138, -2.729, 7, 0.401
111, 56, 86, 66, 26.944, 1.940, 7, 0.932
133, 66, 134, 69, 3.030, -3.112, 7, 0.030
67, 75, 117, 70, 51.005, -1.473, 7, 0.995
57, 105, 59, 109, 3.928, -2.695, 7, 0.432
74, 138, 89, 147, 17.264, -2.087, 7, 0.870
141, 167, 140, 167, 1.520, 1.523, 7, 0.999
87, 81, 89, 88, 7.024, -2.950, 7, 0.190
138, 44, 140, 49, 5.331, -2.795, 7, 0.340
62, 66, 61, 75, 8.395, 3.047, 7, 0.094
86, 143, 86, 134, 9.022, 0.027, 7, 0.027
69, 33, 65, 35, 3.806, 2.076, 7, 0.875
82, 48, 82, 49, 0.903, 2.674, 7, 0.451
71, 139, 78, 145, 9.079, -2.273, 7, 0.764
48, 81, 48, 87, 5.732, 3.129, 7, 0.013
69, 130, 73, 135, 7.005, -2.546, 7, 0.561
70, 35, 30, 38, 40.344, 1.649, 7, 0.997
70, 139, 74, 145, 7.886, -2.525, 7, 0.578
174, 61, 174, 62, 1.863, 2.813, 7, 0.323
41, 79, 40, 87, 8.186, 3.018, 7, 0.123
24, 143, 88, 132, 64.886, -1.389, 7, 0.983

